id,base_id,attribute,winner,score_current,score_base,decision_reason
1125899912143279,1407374890190043,addresses,base,0.4706,0.4739,quality_tiebreak
1125899912143279,1407374890190043,emails,current,1.0,0.0,base_missing
1125899912143279,1407374890190043,socials,tie,0.0,0.0,both_missing
08f2aa879200ab960398d7c665470cf4,562949954974969,names,current,0.5708,0.4903,higher_rule_score
08f2aa879200ab960398d7c665470cf4,562949954974969,categories,current,0.5123,0.4723,higher_rule_score
08f2aa879200ab960398d7c665470cf4,562949954974969,websites,current,0.5123,0.3665,higher_rule_score
08f2aa879200ab960398d7c665470cf4,562949954974969,phones,current,0.5123,0.4723,higher_rule_score
08f2aa879200ab960398d7c665470cf4,562949954974969,addresses,current,0.5123,0.4723,higher_rule_score
08f2aa879200ab960398d7c665470cf4,562949954974969,emails,current,1.0,0.0,base_missing
08f2aa879200ab960398d7c665470cf4,562949954974969,socials,tie,0.0,0.0,both_missing
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,names,current,0.5828,0.5172,higher_rule_score
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,categories,current,0.6481,0.4993,higher_rule_score
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,websites,current,0.5941,0.4723,higher_rule_score
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,phones,current,0.5941,0.4723,higher_rule_score
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,addresses,current,0.5907,0.4689,higher_rule_score
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,emails,current,1.0,0.0,base_missing
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,socials,current,1.0,0.0,base_missing
1407374891126949,562949966191554,names,current,0.5105,0.5105,quality_tiebreak
1407374891126949,562949966191554,categories,current,0.5533,0.5533,quality_tiebreak
1407374891126949,562949966191554,websites,current,0.4723,0.4723,quality_tiebreak
1407374891126949,562949966191554,phones,current,0.4723,0.4723,quality_tiebreak
1407374891126949,562949966191554,addresses,current,0.4773,0.4773,quality_tiebreak
1407374891126949,562949966191554,emails,current,1.0,0.0,base_missing
1407374891126949,562949966191554,socials,tie,0.0,0.0,both_missing
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,names,current,0.6075,0.4498,higher_rule_score
