id,base_id,attribute,winner,prob_current
08f446d5a2010d8203f9b431b01c55a8,yelp_gTeFsKs7gp8NwDJYgEvrbg,websites,base,3.25123392030946e-06
08f446d5a2010d8203f9b431b01c55a8,yelp_gTeFsKs7gp8NwDJYgEvrbg,phones,current,0.9740137794019099
08f446d5a2010d8203f9b431b01c55a8,yelp_gTeFsKs7gp8NwDJYgEvrbg,addresses,base,0.016692503584982653
08f446d5a2010d8203f9b431b01c55a8,yelp_gTeFsKs7gp8NwDJYgEvrbg,emails,current,1.0
08f446d5a2010d8203f9b431b01c55a8,yelp_gTeFsKs7gp8NwDJYgEvrbg,socials,current,1.0
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,names,base,0.003538090384193131
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,categories,current,1.0
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,websites,base,3.923119948012754e-05
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,phones,base,0.09061306375802367
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,addresses,base,0.004990969824127268
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,emails,current,1.0
08f197322caf32aa03d91c4f98d80cdb,yelp_oUU8e2NBUDzje3AXsyCQ5A,socials,current,1.0
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,names,base,0.003712323868326909
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,categories,current,0.9878972416876807
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,websites,base,1.2105975656595547e-05
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,phones,base,5.916771269485692e-05
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,addresses,current,0.9960721723201986
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,emails,current,1.0
1125899911671095,yelp_Gt7jcIB39WADbEvZtG1t4w,socials,base,0.043333333333333335
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,names,current,0.998755886932413
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,categories,current,1.0
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,websites,base,0.00016563334793318063
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,phones,current,0.9740137794019099
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,addresses,current,0.9936309630785543
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,emails,current,1.0
08f2a89672a32681039a389a0b9bbafa,yelp_d6NRbjup2E3TIJ9AJ-bj1w,socials,current,1.0
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,names,base,0.0
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,categories,current,1.0
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,websites,base,1.167906157206744e-05
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,phones,current,0.978281255733083
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,addresses,base,0.009661269132636607
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,emails,current,1.0
08f2b9864918641603e350d0663441fa,yelp_S_oC-v00KkJw5CkItouxqQ,socials,current,1.0
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,names,current,0.9994874340643971
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,categories,current,0.9965772810692638
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,websites,base,4.858358352066716e-06
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,phones,current,0.972293949976358
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,addresses,current,0.9903909928794792
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,emails,current,1.0
08f2ab2d2c6d119603b5fa4d75021a0a,yelp_6ll5ybzF4mrTMahyRtUAlw,socials,current,1.0
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,names,current,0.9995822025812087
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,categories,current,0.9998782085448287
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,websites,base,1.9564655303838663e-05
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,phones,current,0.9723534909661348
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,addresses,base,0.007055647246812106
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,emails,current,1.0
08f2a33d33775c90034d3ed2193d306c,yelp_eh1O9WGBpexk-UMTzCycwQ,socials,current,1.0
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,names,current,0.9983765092120793
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,categories,current,0.9982300249674874
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,websites,base,1.6715523088350892e-05
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,phones,base,5.987837336766914e-05
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,addresses,current,0.9956669929894653
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,emails,current,1.0
1125899912262407,yelp_Yz5f7QpF1n4fG7rQU4XSdw,socials,base,0.043333333333333335
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,names,current,0.9989864196775322
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,categories,current,0.7880021999655584
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,websites,base,0.00010083027154905722
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,phones,base,7.077217945044163e-05
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,addresses,base,0.07006434531345034
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,emails,current,1.0
1407374891238634,yelp_jD2IbWLQS8bJaT4yf_DtGA,socials,base,0.043333333333333335
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,names,current,0.9986958465934492
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,categories,current,0.9998782085448287
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,websites,base,7.244240987347439e-05
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,phones,base,0.0600424715919953
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,addresses,base,0.007310426459890775
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,emails,current,1.0
08f444057518baa8032e7995b4f5455b,yelp_eZAk1y5CuKDN0QUlN5XPgQ,socials,current,1.0
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,names,current,0.9989873740979065
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,categories,current,0.9865903794297848
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,websites,base,6.74463535688119e-06
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,phones,base,5.777159301219641e-05
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,addresses,base,0.07690615353274825
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,emails,current,1.0
1125899912042890,yelp_3LEbOXpci5dV3Br407KwrQ,socials,base,0.043333333333333335
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,names,current,0.998320229019799
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,categories,base,0.0490693117740193
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,websites,base,6.4206915340037085e-06
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,phones,current,0.9740137794019099
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,addresses,base,0.01415405094405604
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,emails,current,1.0
08f48eba2a46c52d03481eadd18b4c17,yelp_XEMoBJcgavYQxOrWM-YAvA,socials,current,1.0
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,names,current,0.9906529467614792
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,categories,base,0.0326808949546879
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,websites,base,0.00016829099331516773
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,phones,base,7.248245108922156e-05
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,addresses,current,0.9909944699489855
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,emails,current,1.0
844424933252698,yelp_TRDtStLKaDK-OQxvX0XWog,socials,base,0.043333333333333335
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,names,base,0.00017713660463128625
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,categories,current,0.8442950962444741
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,websites,base,3.4631248126970604e-05
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,phones,base,0.115704145761028
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,addresses,base,0.0048465147027555765
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,emails,current,1.0
08f44e540c45806d036445fe6c54049d,yelp_Z6fbWw-OgjK2X7LRAdVvjg,socials,current,1.0
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,names,base,0.0006335761221651825
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,categories,current,1.0
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,websites,base,3.6742101201525657e-06
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,phones,base,0.08069916937597234
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,addresses,base,0.0037605464555412324
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,emails,current,1.0
08f29a0993196b6903be6556ae6d92e6,yelp_MNYxL6uP08O0gspeEAeQ_w,socials,current,1.0
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,names,current,0.9988286588107053
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,categories,current,1.0
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,websites,base,2.81171942333458e-05
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,phones,current,0.9723534909661348
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,addresses,base,0.01828275806902157
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,emails,current,1.0
08f2aab52140802c0395a9524fcac41d,yelp_bI2Gxd1u3f2PkB-ZcsF-mg,socials,current,1.0
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,names,current,0.9991595191055501
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,categories,current,1.0
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,websites,base,5.198517465032637e-05
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,phones,current,0.9748850951119269
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,addresses,base,0.004749194078151952
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,emails,current,1.0
08f1f1b249ba946b03529572f455053c,yelp_mB4T2tXV0UJqsdsEJpkDeg,socials,current,1.0
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,names,base,0.0
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,categories,current,0.9999106144025971
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,websites,base,5.036325819673948e-05
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,phones,current,0.971741124157294
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,addresses,base,0.003118906301924536
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,emails,current,1.0
08f1f99cc3cb391403d5856323e961ae,yelp_5aotgib-SBjZ0FIpytdnFg,socials,current,1.0
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,names,current,0.9990672109029424
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,categories,current,0.9923011271898458
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,websites,base,3.9988240132515784e-06
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,phones,current,0.9784327538253288
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,addresses,base,0.005199216428906035
