id,base_id,base_categories,categories
1407374885598016,562949964604094,"{""primary"":""auto_detailing"",""alternate"":[""car_wash"",""automotive""]}","{""primary"":""auto_detailing"",""alternate"":[""car_wash"",""automotive""]}"
08f44a18511700c5039a1e230fdc197c,1407374890168896,"{""primary"":""smoothie_juice_bar"",""alternate"":[""health_market"",""restaurant"",""retail""]}","{""primary"":""smoothie_juice_bar"",""alternate"":[""eat_and_drink""]}"
08f446c24248389c03f8f8dbd8576f9f,562949963667295,"{""primary"":""appliance_store"",""alternate"":[""sewing_and_alterations"",""retail""]}","{""primary"":""sewing_and_alterations"",""alternate"":[""arts_and_crafts"",""fabric_store""]}"
08f3da11a880352a03e1b552a441aa16,08f3da11a881c3a4036450111f6f44b4,"{""primary"":""dance_club"",""alternate"":[""restaurant"",""bar""]}","{""primary"":""dance_club""}"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"{""primary"":""coffee_shop"",""alternate"":[""restaurant""]}","{""primary"":""cafe"",""alternate"":[""restaurant"",""internet_cafe""]}"
1125899911221207,1970324838744829,"{""primary"":""auto_insurance"",""alternate"":[""home_and_rental_insurance""]}","{""primary"":""auto_insurance"",""alternate"":[""home_and_rental_insurance""]}"
08f2af62655ad02303c1c002aed33a25,1407374888662920,"{""primary"":""kids_recreation_and_party"",""alternate"":[""specialty_school"",""education""]}","{""primary"":""education"",""alternate"":[""specialty_school"",""b2b_science_and_technology""]}"
08f2664c9939219403dbde16d5780a75,844424930437611,"{""primary"":""gas_station"",""alternate"":[""automotive""]}","{""primary"":""gas_station"",""alternate"":[""convenience_store"",""shopping""]}"
08f269614b65270a03cda656d6a2aa1f,2251799819345911,"{""primary"":""car_window_tinting"",""alternate"":[""auto_glass_service"",""home_window_tinting"",""automotive""]}","{""primary"":""car_window_tinting"",""alternate"":[""windows_installation"",""glass_and_mirror_sales_service""]}"
08f1f2d6b121bae9037c5aa065d85015,1688849866346166,"{""primary"":""hospital"",""alternate"":[""orthotics"",""health_and_medical""]}","{""primary"":""medical_research_and_development"",""alternate"":[""health_and_medical"",""medical_service_organizations""]}"
281474977374045,844424931551851,"{""primary"":""battery_store"",""alternate"":[""auto_parts_and_supply_store"",""automotive"",""retail""]}","{""primary"":""battery_store"",""alternate"":[""auto_parts_and_supply_store"",""automotive"",""retail""]}"
08f2a101ab4a4d6603318d4b9c6dea88,1970324839219910,"{""primary"":""pizza_restaurant"",""alternate"":[""sandwich_shop"",""restaurant""]}","{""primary"":""italian_restaurant"",""alternate"":[""restaurant"",""pizza_restaurant""]}"
1407374891495088,562949956622481,"{""primary"":""korean_grocery_store"",""alternate"":[""supermarket"",""retail""]}","{""primary"":""korean_grocery_store"",""alternate"":[""supermarket"",""retail""]}"
1125899909415294,1407374887700826,"{""primary"":""sushi_restaurant"",""alternate"":[""food"",""restaurant""]}","{""primary"":""sushi_restaurant"",""alternate"":[""food"",""restaurant""]}"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"{""primary"":""retail""}","{""primary"":""furniture_store"",""alternate"":[""bar""]}"
2251799821514759,844424932099356,"{""primary"":""supermarket"",""alternate"":[""retail""]}","{""primary"":""pharmacy"",""alternate"":[""drugstore"",""retail""]}"
08f28d1aacab0c5503f03bc3cacd7057,281474977479849,"{""primary"":""video_game_store"",""alternate"":[""books_mags_music_and_video"",""hobby_shop"",""toy_store"",""retail""]}","{""primary"":""video_game_store"",""alternate"":[""music_and_dvd_store"",""toy_store""]}"
