id,base_id,addresses,base_addresses
08f1f02063cd996b03253b5a992c8fbc,562949962215382,"[{""freeform"":""Bergstraße 45"",""locality"":""Schwerin"",""postcode"":""19055"",""country"":""DE""}]","[{""freeform"":""Bergstr. 45"",""locality"":""Schwerin"",""region"":"""",""country"":""DE"",""postcode"":""19055""}]"
562949958207347,562949965558668,"[{""freeform"":""3860 West Columbus Drive, Tampa Airport"",""locality"":""Tampa"",""region"":""FL"",""country"":""US"",""postcode"":""33607""}]","[{""freeform"":""3860 W Columbus Dr"",""locality"":""Tampa"",""region"":""FL"",""country"":""US"",""postcode"":""33607""}]"
08f12db7756486da03e71a795e1b150a,281474980481123,"[{""freeform"":""1325 W 1st Ave"",""locality"":""Spokane"",""postcode"":""99201-4133"",""region"":""WA"",""country"":""US""}]","[{""freeform"":""1325 W 1st Ave Ste 204"",""locality"":""Spokane"",""region"":""WA"",""country"":""US"",""postcode"":""99201""}]"
08f2a930f0835c9d039f113beff6647f,1407374889501649,"[{""freeform"":""1435 Vine St"",""locality"":""Cincinnati"",""postcode"":""45202-7094"",""region"":""OH"",""country"":""US""}]","[{""freeform"":""1435 Vine St 2nd Floor"",""locality"":""Cincinnati"",""region"":""OH"",""country"":""US"",""postcode"":""45202""}]"
08f2e74a50d2900003b56d9aa022a3b6,562949964821720,"[{""freeform"":""群馬県富岡市富岡２３５１−１"",""locality"":""富岡市"",""postcode"":""370-2316"",""country"":""JP""}]","[{""freeform"":""群馬県富岡市富岡2356"",""locality"":"""",""region"":"""",""country"":""JP"",""postcode"":""〒370-2316""}]"
08f266dad34a453403895be31ff7113a,562949964741889,"[{""freeform"":""715 Shaker Dr"",""locality"":""Lexington"",""postcode"":""40504-3628"",""region"":""KY"",""country"":""US""}]","[{""freeform"":""715 Shaker Dr Ste 100"",""locality"":""Lexington"",""region"":""KY"",""country"":""US"",""postcode"":""40504""}]"
08f1958c2b10c541038aee2bfe17b7a0,1407374889554333,"[{""freeform"":""14C Rockfield Rd, Hr1 2Ua"",""locality"":""Hereford"",""postcode"":""HR1 4EW"",""region"":""Herefordshire"",""country"":""GB""}]","[{""freeform"":""14C Rockfield Road"",""locality"":""Hereford"",""region"":"""",""country"":""GB"",""postcode"":""HR1 2UA""}]"
08f39540a8951551033cd5c0b522f9b6,1688849863718528,"[{""freeform"":""Avenida de Giorgeta, 4"",""locality"":""Valencia"",""postcode"":""46007"",""country"":""ES""}]","[{""freeform"":""Avenida Giorgeta, 4 Bajo"",""locality"":""Valencia"",""region"":"""",""country"":""ES"",""postcode"":""46007""}]"
562949957766446,562949960003296,"[{""freeform"":""Avenida Río Boladiez, s/n, N-400, C.c. y de Ocio Luz Del Tajo"",""locality"":""Toledo"",""region"":"""",""country"":""ES"",""postcode"":""45007""}]","[{""freeform"":""Ctro.Cial. Y Ocio Luz Del Tajo, N-400 Av. Río Boladiez, S/N"",""locality"":""Toledo"",""region"":"""",""country"":""ES"",""postcode"":""45007""}]"
08f1faea1a769db403fc9ae26e222fa5,1407374886536367,"[{""freeform"":""Berger Straße 124A"",""locality"":""Frankfurt am Main"",""postcode"":""60316"",""country"":""DE""}]","[{""freeform"":""Berger Str. 124A"",""locality"":""Frankfurt am Main"",""region"":"""",""country"":""DE"",""postcode"":""60316""}]"
08f489a2b26ea022033c99516fba1fde,562949963081374,"[{""freeform"":""2000 W Loop 340"",""locality"":""Waco"",""postcode"":""76712-6802"",""region"":""TX"",""country"":""US""}]","[{""freeform"":""2000 W Loop 340, Ste 105"",""locality"":""Waco"",""region"":""TX"",""country"":""US"",""postcode"":""76712""}]"
08f390cb1b4015a203636d915a9d5abe,562949964422451,"[{""freeform"":""Plaza de Puerta Cerrada, 11"",""locality"":""Madrid"",""postcode"":""28005"",""country"":""ES""}]","[{""freeform"":""Plaza de Prta. Cerrada, 11, Bajo"",""locality"":""Madrid"",""region"":"""",""country"":""ES"",""postcode"":""28005""}]"
08f1eb5ba8ba504603b783a90e1e34e9,562949966377071,"[{""freeform"":""Viale 20 Settembre, 285"",""locality"":""Carrara"",""postcode"":""54033"",""region"":""52"",""country"":""IT""}]","[{""freeform"":""Viale XX Settembre, 285"",""locality"":""Marina Di Carrara"",""region"":""MS"",""country"":""IT"",""postcode"":""54033""}]"
08f28dec4354270203936b319e65d7d8,562949958964965,"[{""freeform"":""3387 David Ave"",""locality"":""Coquitlam"",""postcode"":""V3E 0K4"",""region"":""BC"",""country"":""CA""}]","[{""freeform"":""3387 David Avenue, Suite 102"",""locality"":""Coquitlam"",""region"":""BC"",""country"":""CA"",""postcode"":""V3E 0K4""}]"
08f2646a4c0c553203964bd31cbcec1e,562949955033525,"[{""freeform"":""72 Airport Plz"",""locality"":""Bethalto"",""postcode"":""62010"",""region"":""IL"",""country"":""US""}]","[{""freeform"":""2 Plaza Dr"",""locality"":""Bethalto"",""region"":""IL"",""country"":""US"",""postcode"":""62010""}]"
08f1e040c5c034a403d1b2a7d8a97f60,1407374890311513,"[{""freeform"":""Neffova 299/1"",""locality"":""Lipník nad Bečvou"",""postcode"":""751 31"",""region"":""71"",""country"":""CZ""}]","[{""freeform"":""Neffova 299"",""locality"":""Lipník nad Bečvou"",""region"":"""",""country"":""CZ"",""postcode"":""""}]"
08f268cd03d718c3039c459f8ecb4544,562949961802187,"[{""freeform"":""9135 E Northfield Blvd"",""locality"":""Denver"",""postcode"":""80238"",""region"":""CO"",""country"":""US""}]","[{""freeform"":""9135 Northfield Blvd, Suite 140"",""locality"":""Denver"",""region"":""CO"",""country"":""US"",""postcode"":""80230""}]"
08f29a0328863ce103903c4a284f587f,844424932487214,"[{""freeform"":""600 N Mountain Ave"",""locality"":""Upland"",""postcode"":""91786-4315"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""600 N Mountain Ave Ste B200"",""locality"":""Upland"",""region"":""CA"",""country"":""US"",""postcode"":""91786""}]"
08f2f5a300b04c580376f699579ff69c,562949964687863,"[{""freeform"":""東京都足立区千住３丁目９２"",""locality"":""足立区"",""postcode"":""120-0034"",""country"":""JP""}]","[{""freeform"":""千住3-92, 北千住マルイ 5F"",""locality"":""足立区"",""region"":""東京都"",""country"":""JP"",""postcode"":""〒120-8501""}]"
