id,base_id,phones,base_phones
08f29a199eaf25a603a95d490f36ddce,1125899910310972,"[""+13107347556""]","[""3107347556""]"
08f29a5792d46a5d0335edaa218f3095,1407374885860410,"[""+17142438572""]","[""8332608211""]"
08f2a930f0835c9d039f113beff6647f,1407374889501649,"[""+15134525103""]","[""5134525103""]"
08f2e74a50d2900003b56d9aa022a3b6,562949964821720,"[""+81274702788""]","[""0274702788""]"
08f266dad34a453403895be31ff7113a,562949964741889,"[""+18592779435""]","[""8592779435""]"
08f1958c2b10c541038aee2bfe17b7a0,1407374889554333,"[""07778167829""]","[""01432277114""]"
08f2640d0e5ae55d03f4bf0c75e365cd,1970324841284526,"[""+16186560490""]","[""6186560490""]"
08f26cc2f2b032ce03a3f4ff67b6eea7,1125899912484626,"[""+15809249304""]","[""5809249304""]"
08f39540a8951551033cd5c0b522f9b6,1688849863718528,"[""+34960830875""]","[""960830875""]"
08f2a336124e17040373939b45bed74c,562949958464804,"[""+18608896163""]","[""8608896163""]"
08f2b9aa6cd83dac03aaf49b2b35ae57,1407374888497995,"[""+19058983320""]","[""9058983320""]"
1407374890120053,844424932994052,"[""8333603417""]","[""6516441089""]"
