id,base_id,websites,base_websites
1125899911801515,1125899911801523,"[""https://www.dancenter.de/ferienhaus/39879?utm_source=bing_myplaces&utm_medium=organic&utm_campaign=39879""]","[""https://www.dancenter.de/ferienhaus/39889?utm_source=bing_myplaces&utm_medium=organic&utm_campaign=39889""]"
08f2aac6eb4582ea0312c7b3c0c3b42c,08f2aac6eb4582ea03c52d6c4876c158,"[""http://www.trinityjoppa.org/""]","[""https://www.trulia.com/schools/MD-Joppa/Trinity_Lutheran_School""]"
1407374885201144,1407374885272353,"[""https://www.walmart.com/store/948-hickory-nc/""]","[""https://www.walmart.com/store/948-hickory-nc/bakery/""]"
08fbe8d81286d794032c375b025f9b00,1407374886834264,"[""http://www.bayaudio.com.au""]","[""https://www.bayaudio.com.au/store-locator/loganholme/""]"
08f44ccd92c5958803fcf9fe5c63618c,281474977909363,"[""http://www.dw-motors.com/""]","[""https://dwmautorepair.com/""]"
08f2a9560235585103d35ec2f4513b74,844424934140957,"[""http://www.hertz.com/rentacar/location/unitedstates/ohio/columbus/cmht01""]","[""https://www.hertz.com/rentacar/location/unitedstates/ohio/columbus/CMHC25""]"
08f28f012d60e6ad03f99abbc4c48bf1,562949955048970,"[""http://www.starbucks.com/""]","[""""]"
08f28308106929aa0322048f73b8a6a1,1407374891541208,"[""http://www.drrichardlavignadpm.com/""]","[""https://balancehealth.com/provider/richard-lavigna-dpm/bay-area-foot-care/""]"
08f283474cd5d0060371a4d2dc07ced8,562949953674175,"[""http://www.hellerimmigration.com/""]","[""http://greencard1.com/""]"
08f26c876296a6e1039d68062f5bad96,1407374885201836,"[""""]","[""https://www.walmart.com/store/2883-plano-tx/""]"
08f1faad040705a503524f8b3f8ed78a,08f1faad04070d85036379ad2c9a82d3,"[""https://www.eathappy.de/""]","[""https://www.eathappy.de/standorte/?q=67346&utm_source=facebook&utm_medium=local&utm_campaign=facebook-local""]"
1407374886203415,1407374890602671,"[""https://care.advocatehealth.com/doctors/abraham-c-gaupp-park-ridge-anesthesiology""]","[""https://care.advocatehealth.com/doctors/abraham-c-gaupp-park-ridge-anesthesiology-1""]"
08f195c16b7ada18034035220a9bdd25,844424933195832,"[""https://www.bluebirdcare.co.uk/tamworth-lichfield""]","[""http://www.bluebirdcare.co.uk/""]"
08f446ca680a1869030a4ea331750302,281474976949589,"[""https://www.discounttire.com/store/tx/katy/s/1750""]","[""http://www.discounttire.com/dtcs/home.do""]"
08f283610b0ea36403f1476f10290048,844424933007489,"[""https://www.coinworks.info/modesto-bitcoin-atm/""]","[""https://www.coinworks.info/""]"
08f446cad8a910f203fe01900db1c70a,562949955139849,"[""https://locations.visionworks.com/ll/US/TX/Houston/13774-Northwest-Fwy?utm_medium=social&utm_source=facebook&utm_campaign=local&utm_content=sl&utm_term=12""]","[""""]"
08f2b9b36479862e0351baadfa912c6b,1407374888608256,"[""http://francospizza.com/""]","[""https://francospizza.com/locations/payne-ave-north-tonawanda/""]"
1407374888316080,562949962349568,"[""http://one10beauty.com/""]","[""""]"
08f2a10b6342896d0393508969ccb385,1125899907822219,"[""https://locations.carvel.com/ny/patchogue/217-e-main-street-patchogue-ny-11772?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner""]","[""http://locations.carvel.com/new-york/patchouque/1981-carvel-ice-cream/""]"
